		mean	sd	MC_error	val2.5pc	val97.5pc	start	sample
	alpha[272]	3.285	0.4055	0.03823	2.485	4.07	7001	1000
	alpha[273]	4.492	0.4752	0.04369	3.558	5.437	7001	1000
	alpha[274]	1.846	0.4178	0.04177	0.9937	2.641	7001	1000
	alpha[275]	3.576	0.4015	0.03621	2.772	4.322	7001	1000
	alpha[276]	4.648	0.3746	0.03392	3.915	5.349	7001	1000
	alpha[277]	2.111	0.4509	0.04013	1.21	2.994	7001	1000
	alpha[278]	1.669	0.4443	0.03983	0.8472	2.599	7001	1000
	alpha[279]	3.287	0.564	0.0437	2.258	4.368	7001	1000
	alpha[280]	3.611	0.3279	0.02287	2.959	4.23	7001	1000
	alpha[281]	2.448	0.4541	0.03981	1.546	3.31	7001	1000
	alpha[282]	1.654	0.4745	0.04434	0.7343	2.511	7001	1000
	alpha[283]	3.997	0.3705	0.03596	3.251	4.684	7001	1000
	alpha[284]	2.802	0.4521	0.04316	1.866	3.682	7001	1000
	alpha[285]	4.045	0.4543	0.04027	3.13	4.87	7001	1000
	alpha[286]	4.033	0.4639	0.0409	3.133	4.928	7001	1000
	alpha[287]	3.321	0.5386	0.0424	2.234	4.376	7001	1000
	alpha[288]	2.579	0.5696	0.04547	1.439	3.7	7001	1000
	alpha[289]	4.457	0.5227	0.03597	3.388	5.421	7001	1000
	alpha[290]	2.342	0.4805	0.03716	1.381	3.288	7001	1000
	alpha[291]	2.527	0.5078	0.04467	1.51	3.462	7001	1000
	alpha[292]	4.097	0.5117	0.0403	3.068	5.089	7001	1000
	alpha[293]	4.139	0.5333	0.03377	3.07	5.202	7001	1000
	alpha[294]	3.166	0.4939	0.04141	2.135	4.145	7001	1000
	alpha[295]	2.568	0.579	0.04424	1.436	3.737	7001	1000
	alpha[296]	2.55	0.5724	0.03938	1.352	3.661	7001	1000
	alpha[297]	2.919	0.5729	0.0434	1.761	4.103	7001	1000
	alpha[298]	3.169	0.5689	0.03487	2.033	4.285	7001	1000
	alpha[299]	2.563	0.5785	0.04321	1.418	3.752	7001	1000
	alpha[300]	3.732	0.5891	0.0408	2.594	4.891	7001	1000
